publisher_name,iati_organisation_identifier,organisation_type,country
Africa Educational Trust,GB-CHC-313139,International NGO,United Kingdom
Living Earth Foundation,GB-CHC-800672,International NGO,United Kingdom
Fauna & Flora International,GB-COH-0277068,International NGO,United Kingdom
Children in Crisis,GB-CHC-1020488,International NGO,United Kingdom
ICA:UK,GB-CHC-1090745,National NGO,United Kingdom
Build Africa,GB-CHC-298316,International NGO,United Kingdom
Tearfund,GB-CHC-265464,International NGO,United Kingdom
War on Want,GB-CHC-208724,International NGO,United Kingdom
InterClimate Network,GB-COH-06587734,International NGO,United Kingdom
World Association for Christian Communication (UK),GB-COH-2082273,International NGO,United Kingdom
African Initiatives,GB-CHC-1064413,International NGO,United Kingdom
Opportunity International UK,GB-COH-05322719,International NGO,United Kingdom
Mercy Corps Europe,GB-SC-SC030289,International NGO,United Kingdom
Aga Khan Foundation (United Kingdom),GB-COH-1100897,International NGO,United Kingdom
Samaritan's Purse UK,GB-CHC-1001349,International NGO,United Kingdom
Karuna Trust,GB-CHC-327461,International NGO,United Kingdom
Agency for Cooperation and Research in Development (ACORD),GB-CHC-283302,International NGO,United Kingdom
Bond,GB-CHC-1068839,National NGO,United Kingdom
Twin,GB-CHC-291824,International NGO,United Kingdom
Power International,GB-CHC-1059996,International NGO,United Kingdom
Canon Collins Trust,GB-CHC-1102028,International NGO,United Kingdom
Water & Sanitation for the Urban Poor (WSUP),GB-COH-5419428,Public Private Partnership,United Kingdom
British International Investment plc,GB-COH-03877777,Other Public Sector,United Kingdom
Womankind Worldwide,GB-CHC-328206,International NGO,United Kingdom
"Friends of the Earth England, Wales and Northern Ireland",GB-CHC-281681,National NGO,United Kingdom
United Purpose,GB-CHC-272465,International NGO,United Kingdom
PONT,GB-CHC-1125948,International NGO,United Kingdom
Rainforest Foundation UK,GB-CHC-1138287,International NGO,United Kingdom
UN-Habitat,41120,Multilateral,(No country assigned)
Penal Reform International,GB-COH-04154075,International NGO,United Kingdom
WaterAid,GB-CHC-288701,International NGO,United Kingdom
Jeevika Trust,GB-CHC-291167,International NGO,United Kingdom
Voluntary Service Overseas (VSO),GB-CHC-313757,International NGO,United Kingdom
Plan International UK,GB-COH-1364201,International NGO,United Kingdom
Population Service International,21032,International NGO,United States
Save the Children UK,GB-COH-213890,International NGO,United Kingdom
Hivos,NL-KVK-41198677,International NGO,Netherlands
Southern African Catholic Bishops' Conference Aids Office,ZA-NPO-061-870,Regional NGO,South Africa
The Global Alliance for Improved Nutrition,CH-FDJP-CHE-110347351,International NGO,Switzerland
StreetInvest,GB-CHC-1127206,International NGO,United Kingdom
Conciliation Resources,GB-CHC-1055436,International NGO,United Kingdom
BRAC UK,GB-CHC-1115482,International NGO,United Kingdom
Gender Links,ZA-CIP-2001-005850-08,Regional NGO,South Africa
Leonard Cheshire Disability,GB-CHC-218186,International NGO,United Kingdom
Developments In Literacy Trust UK,GB-CHC-1122924,International NGO,United Kingdom
CARE International UK,GB-CHC-292506,International NGO,United Kingdom
Islamic Relief Worldwide,GB-CHC-328158,International NGO,United Kingdom
International Planned Parenthood Federation,GB-CHC-229476,International NGO,United Kingdom
Charity Projects Ltd (Comic Relief),GB-CHC-326568,Foundation,United Kingdom
United Nations Capital Development Fund,XM-DAC-41111,Multilateral,United States
Relief International UK,GB-CHC-1098106,International NGO,United Kingdom
TB Alert,GB-CHC-1071886,International NGO,United Kingdom
UN Women,XM-DAC-41146,Multilateral,(No country assigned)
Twaweza,TZ-BRE-63966,Regional NGO,"Tanzania, United Republic of"
MicroLoan Foundation,GB-CHC-1104287,International NGO,United Kingdom
Child-to-Child,GB-CHC-1152010,International NGO,United Kingdom
Christian Aid,GB-CHC-1105851,International NGO,United Kingdom
Grow Movement,GB-CHC-1139083,"Academic, Training and Research",United Kingdom
Motivation,GB-CHC-1079358,International NGO,United Kingdom
Disability Rights Fund,US-EIN-27-5026293,International NGO,United States
WWF-UK,GB-CHC-1081247,International NGO,United Kingdom
MSI Reproductive Choices,GB-COH-1102208,International NGO,United Kingdom
Sightsavers,GB-CHC-207544,International NGO,United Kingdom
Triple Line,GB-COH-03788027,Private Sector,United Kingdom
ActionAid International,NL-KVK-27264198,International NGO,Netherlands
Inter-American Development Bank,XI-IATI-IADB,Multilateral,(No country assigned)
Zimbabwe Educational Trust,GB-CHC-327519,International NGO,United Kingdom
Practical Action,GB-COH-871954,International NGO,United Kingdom
Restless Development,GB-CHC-1127488,International NGO,United Kingdom
International Alert,GB-COH-2153193,International NGO,United Kingdom
Germany - Ministry for Economic Cooperation and Development,DE-1,Government,Germany
Malaria Consortium,GB-CHC-1099776,International NGO,United Kingdom
People In Aid,GB-CHC-1078768,International NGO,United Kingdom
Climate Investment Funds,47135,Multilateral,"Bilateral, unspecified"
MAMTA - Health Institute for Mother and Child,IN-,National NGO,India
Centre for Indian Knowledge Systems,ciks,"Academic, Training and Research",India
Cord,GB-CHC-1070684,Regional NGO,United Kingdom
UK - Home Office,GB-GOV-6,Government,United Kingdom
Pact,US-EIN-13-2702768,International NGO,United States
War Child UK,GB-CHC-1071659,International NGO,United Kingdom
GOAL,GB-CHC-1107403,International NGO,Ireland
Ethical Trading Initiative,GB-COH-3578127,International NGO,United Kingdom
Development Aid from People to People (DAPP) Malawi,GPAF-IMP-031,National NGO,Malawi
United Nations Children's Fund (UNICEF),XM-DAC-41122,Multilateral,(No country assigned)
CDA Collaborative Learning Projects,US-IRS-562339052,International NGO,United States
"Medical Research Centre (MRC), Sierra Leone",SL-NRA-1001562-8,National NGO,Sierra Leone
Scotland's International Development Alliance,GB-SC-SC035314,Regional NGO,United Kingdom
United Nations World Food Programme (WFP),XM-DAC-41140,Multilateral,Italy
ACODEV,BE-BCE_KBO-0462279234,National NGO,Belgium
Dóchas - Irish Association of Non Governmental Development Organisations,IE-CHY-6410,National NGO,Ireland
Women for Women International (UK),GB-CHC-1115109,International NGO,United Kingdom
ActionAid UK,GB-CHC-274467,International NGO,United Kingdom
Association for Reproductive and Family Health,NG-CAC-5938,National NGO,Nigeria
African Development Bank,XM-DAC-46002,Multilateral,(No country assigned)
Akvo Foundation,NL-KVK-27327087,International NGO,Netherlands
Saferworld,GB-CHC-1043843,International NGO,United Kingdom
United Nations Population Fund,XM-DAC-41119,Multilateral,(No country assigned)
Freedom Forum,NP-DAO-27-127/062/063,National NGO,Nepal
Afghanaid,GB-CHC-1045348,International NGO,United Kingdom
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,NZ-1,Government,New Zealand
Canada - Global Affairs Canada | Affaires mondiales Canada,CA-3,Government,Canada
European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,"Europe, regional"
European Commission - Neighbourhood and Enlargement Negotiations,XI-IATI-EC_NEAR,Other Public Sector,(No country assigned)
Spain - Ministry of Foreign Affairs and Cooperation,ES-DIR3-E04585801,Government,Spain
HelpAge International,GB-COH-1762840,International NGO,United Kingdom
Send a Cow Uganda,SACU,National NGO,Uganda
Ireland - Department of Foreign Affairs,XM-DAC-21-1,Government,Ireland
UK - Department for Work and Pensions,GB-GOV-GB-9,Government,United Kingdom
Network for Africa,GB-CHC-1120932,International NGO,United Kingdom
Blue Ventures Conservation,GB-CC-1098893,International NGO,United Kingdom
iPartner India,GB-CHC-1114944,International NGO,United Kingdom
Link Community Development Scotland,GB-SC-SC037959,International NGO,United Kingdom
Digital Campus,GB-COH-07629751,"Academic, Training and Research",United Kingdom
Heifer International South Africa,ZA-NPO-013484,National NGO,South Africa
European Commission - Humanitarian Aid & Civil Protection,XI-IATI-EC_ECHO,Other Public Sector,(No country assigned)
CUAMM Trustees,TN-TIN-102123727,National NGO,"Tanzania, United Republic of"
UK - Department of Health and Social Care (DHSC),GB-GOV-10,Government,United Kingdom
MICAIA,GB-CHC-1120413,International NGO,United Kingdom
Plan International USA,US-IRS-13-5661832,International NGO,United States
Afghanistan and Central Asian Association,GB-CHC-1096908,International NGO,United Kingdom
UK - Medical Research Council,GB-COH-RC000346,Government,United Kingdom
I Choose Life Africa,KE-NGC-3372,National NGO,Kenya
International Rescue Committee UK,GB-CHC-1065972,International NGO,United Kingdom
HTSPE,GB-COH-06407873,Private Sector,United Kingdom
Hospice Africa Ltd,GB-CHC-1024903,"Academic, Training and Research",United Kingdom
Able Child Africa,GB-CHC-326859,International NGO,United Kingdom
Global Action Nepal,NP-SWC-13712,National NGO,Nepal
Adam Smith International,GB-COH-2732176,Private Sector,United Kingdom
The Foundation Center,US-EIN-131837418,International NGO,United States
Integrity Action,GB-COH-4884328,International NGO,United Kingdom
Switzerland - Swiss Agency for Development and Cooperation (SDC),CH-4,Government,Switzerland
Bees for Development Trust,GB-CHC-1078803,International NGO,United Kingdom
ACTED,FR-SIRET-4028868160030,International NGO,France
Netherlands - Ministry of Foreign Affairs,XM-DAC-7,Government,Netherlands
Emmanuel International UK,GB-CHC-289036,International NGO,United Kingdom
Feed the Minds,GB-CHC-291333,International NGO,United Kingdom
Crown Agents Limited,GB-COH-03259922,Private Sector,United Kingdom
ARK (Absolute Return for Kids),GB-COH-04589451,International NGO,United Kingdom
SOS Children's Villages Kenya,KE-NGCB-149,International NGO,Kenya
MAG,GB-CHC-1083008,International NGO,United Kingdom
Target TB,GB-CHC-1098752,International NGO,United Kingdom
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),XM-DAC-41127,Multilateral,Switzerland
DAI Europe,GB-COH-1858644,Private Sector,United Kingdom
Stars Foundation,GB-CHC-1087997,Foundation,United Kingdom
PHASE Nepal,NP-SWC-19336,National NGO,Nepal
France - Ministry for Europe and Foreign Affairs,FR-6,Government,France
Hilfswerk Austria Zimbabwe,XI-IATI-035026724,International NGO,Zimbabwe
Plan Ireland Charitable Assistance Limited,IE-CHY-15037,International NGO,Ireland
Agence Française de Développement,FR-3,Other Public Sector,France
British Council,GB-CHC-209131,Other Public Sector,United Kingdom
Street Child,GB-CHC-1128536,International NGO,United Kingdom
Vision Aid Overseas,GB-CHC-1081695,International NGO,United Kingdom
Girls’ Education Challenge – Fund Manager PwC,GB-COH-03580586-GEC,Private Sector,United Kingdom
GEMS Education Solutions,GB-COH-07669775,Private Sector,Ghana
ChildFund International,US-EIN-54-0536100,International NGO,United States
Backward Society Education (BASE),NP-DAO-DANG-18-046/47,National NGO,Nepal
Theatre for a Change UK,GB-CHC-1104458,International NGO,United Kingdom
International Medical Corps UK,GB-CHC-1093861,International NGO,United Kingdom
Social Impact Lab CIC,GB-COH-7557881,International NGO,United Kingdom
Education Development Trust,KE-RCO-270901,International NGO,Kenya
Lepra,GB-CHC-213251,International NGO,United Kingdom
Arab Reporters for Investigative Journalism,JO-CCD-50544,"Academic, Training and Research",Jordan
ICS,NL-KVK-41188664,International NGO,Netherlands
Bill & Melinda Gates Foundation,DAC-1601,Foundation,United States
Shtrii Shakti,NP-SWC-00589,National NGO,Nepal
Women and Children First (UK),GB-CHC-1085096,International NGO,United Kingdom
Theatre for a Change Malawi,MW-NBM-00139,National NGO,Malawi
Center for International Legal Cooperation (CILC),NL-KVK-41166983,Foundation,Netherlands
TREE AID,GB-CHC-1135156,International NGO,United Kingdom
World University Service of Canada,CA-CRA_ARC-119304848,International NGO,Canada
Exeter Ethiopia Link,GB-CHC-1154085,International NGO,United Kingdom
KPMG East Africa,TZ-BRLA-36057,Private Sector,Kenya
Viva,GB-CHC-1053389,International NGO,United Kingdom
Adaptation Fund,XM-DAC-47111,Multilateral,United States
Trianglen,DK-CVR-33985339,National NGO,Denmark
Excellent Development,GB-CHC-1094478,International NGO,United Kingdom
Action Against Hunger UK,GB-CHC-1047501,International NGO,United Kingdom
Canada Department of Finance / Ministère des Finances Canada,CA-4,Government,Canada
Sabre Education Limited,GB-CHC-1105489,International NGO,United Kingdom
Fairtrade Labelling Organizations International e.V.,DE-AG-VR7795,International NGO,Germany
Both ENDS,NL-KVK-41210098,National NGO,Netherlands
Heifer Nederland,NL-KVK-20093733,National NGO,Netherlands
Teach A Man To Fish,GB-CHC-1112699,International NGO,United Kingdom
Fairfood International,NL-KVK-34141098,National NGO,Netherlands
Transnational Institute,NL-KVK-41201806,Foundation,Netherlands
Amref Health Africa - UK,GB-CHC-261488,International NGO,United Kingdom
Association CHS Alliance,XI-IATI-CHSA,International NGO,Switzerland
Friends of the Earth International,NL-KVK-40535338,International NGO,Netherlands
Rahnuma-Family Planning Assocation of Pakistan,PK-MSW-633-1965,National NGO,Pakistan
Rojiroti UK,GB-CHC-1147083,International NGO,United Kingdom
Lively Minds,GB-CHC-1125512,International NGO,United Kingdom
Oxfam Novib,NL-KVK-27108436,International NGO,Netherlands
Institute of Development Studies,GB-COH-877338,"Academic, Training and Research",United Kingdom
EMMS International,GB-SC-SC032327,International NGO,United Kingdom
"Discovery Learning Alliance, Inc.",US-EIN-522043740,International NGO,United States
HelpAge International UK,GB-CHC-1128267-8,National NGO,United Kingdom
Christian Engineers in Development,GB-CHC-293734,International NGO,United Kingdom
"UK - Department for Environment, Food and Rural Affairs",GB-GOV-7,Government,United Kingdom
Avocats Sans Frontières,BE-BCE_KBO-0447404580,National NGO,Belgium
AidData,US-501c3-522318905,"Academic, Training and Research",United States
Japan International Cooperation Agency (JICA),XM-DAC-701-8,Government,Japan
CIFAL Scotland,GB-SC-037597,"Academic, Training and Research",United Kingdom
STAR-Ghana Foundation,GH-RGD-CG220182018,Foundation,Ghana
Water for People,US-EIN-84-1166148,International NGO,United States
Aqua for All,NL-KVK-27248417,Foundation,Netherlands
PHASE Worldwide,GB-CHC-1112734,International NGO,United Kingdom
Across,KE-NGC-9381,International NGO,Kenya
Muslim Aid,GB-CHC-295224,International NGO,United Kingdom
Find Your Feet,GB-CHC-250456,International NGO,United Kingdom
Global Partnership for Education,XM-DAC-47501,Multilateral,United States
One to One Children's Fund,GB-CHC-1086159,International NGO,United Kingdom
Micro Insurance Academy,IN-ITA-1886,"Academic, Training and Research",India
FRANK Water,GB-CHC-1121273,International NGO,United Kingdom
Coffey International Development,GB-COH-3799145,Private Sector,United Kingdom
act4africa,GB-COH-04276635,International NGO,United Kingdom
Stichting Red een Kind,NL-KVK-41022454,International NGO,Netherlands
ShelterBox,GB-CHC-1096479,International NGO,United Kingdom
Bees Abroad UK,GB-CHC-1108464,International NGO,United Kingdom
Catholic Relief Services,US-EIN-13-5563422,International NGO,United States
International Fund for Agricultural Development (IFAD),XM-DAC-41108,Multilateral,(No country assigned)
The HALO Trust,GB-CHC-1001813,International NGO,United Kingdom
ICCO Cooperation,NL-KVK-56484038,International NGO,Netherlands
Pump Aid,GB-CHC-1077889,International NGO,United Kingdom
Food for the Hungry UK,GB-CHC-328273,International NGO,United Kingdom
PEAS (Promoting Equality in African Schools),GB-CHC-1126550,International NGO,United Kingdom
Kyiv School of Economics and Management,UA-EDR-37199602,"Academic, Training and Research",Ukraine
Education Development Trust,GB-CHC-270901,International NGO,United Kingdom
Retrak,GB-CHC-1122799,International NGO,United Kingdom
UNITAID,XM-DAC-30010,Multilateral,Switzerland
Bioclimate Research and Development,GB-SC-044007,International NGO,United Kingdom
British Red Cross,GB-CHC-220949,International NGO,United Kingdom
CHOICE for Youth and Sexuality,NL-KVK-32108345,International NGO,Netherlands
Netherlands Enterprise Agency (RVO),NL-KVK-27378529,Government,Netherlands
SeeYou Foundation,NL-KVK-41180500,International NGO,Netherlands
Private Infrastructure Development Group,XM-DAC-47086,Multilateral,United Kingdom
BasicNeeds,GB-CHC-1079599,International NGO,United Kingdom
Cecily's Fund,GB-CHC-1071660,International NGO,United Kingdom
Amref Flying Doctors,NL-KVK-41150298,National NGO,Netherlands
Canada - International Development Research Centre/Centre de recherches pour le développement international,XM-DAC-301-2,Other Public Sector,Canada
CODA International,GB-CHC-1000717,International NGO,United Kingdom
InterAction,US-EIN-13-3287064,International NGO,United States
Desmond Tutu HIV Foundation,ZA-ROC-1999/05072/08,"Academic, Training and Research",South Africa
Hagar International UK,GB-CHC-1143852,International NGO,United Kingdom
Water Witness International,GB-COH-353570,International NGO,United Kingdom
RAIN Foundation (former),NL-KVK-34200988 (deprecated),International NGO,Netherlands
Stichting Aflatoun International,NL-KVK-34229026,International NGO,Netherlands
UK - Ministry of Defence,GB-GOV-8,Government,United Kingdom
mothers2mothers,ZA-NPO-025-359,International NGO,South Africa
partos,NL-KVK-34214586,National NGO,Netherlands
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",XM-DAC-41304,Multilateral,France
Abaseen Foundation UK,GB-CHC-1157009,International NGO,United Kingdom
Association de Soutien au Développement des Activités de Population,ML-NIF-086108989R,National NGO,Mali
"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",BD-NAB-0203,National NGO,Bangladesh
International Service,GB-CHC-1069182,International NGO,United Kingdom
Avanti Communications Plc,GB-COH-06133927,Private Sector,United Kingdom
Friends of the Earth-Ghana,GH-DSW-258,National NGO,Ghana
European Investment Bank,XM-DAC-918-3,Multilateral,(No country assigned)
World Child Cancer UK,GB-CHC-1084729,International NGO,United Kingdom
Magariro,MZ-MOJ-F2G1No4,National NGO,Mozambique
European Bank for Reconstruction and Development,XI-IATI-EBRD,Multilateral,"Bilateral, unspecified"
The Open University,GB-CHC-000391,"Academic, Training and Research",United Kingdom
Mifumi UK,GB-CHC-1038785,International NGO,United Kingdom
Project Harar,GB-CHC-1094272,International NGO,United Kingdom
Romania Ministry of Foreign Affairs,XM-DAC-77,Government,Romania
The Coca-Cola Export Corporation,XI-IATI-1001,Private Sector,United States
Welbodi Partnership,GB-CHC-1125217,"Academic, Training and Research",United Kingdom
Kepa ry,FI-PRO-143138,National NGO,Finland
Windle Trust Kenya,KE-NCB-OP/218/051/915/65,National NGO,Kenya
Stichting Agriterra,NL-KVK-41048542,Foundation,Netherlands
Cheshire Services Uganda,UG-NGB-5914-7209,National NGO,Uganda
Carers Worldwide,GB-CHC-1150214,International NGO,United Kingdom
KwaAfrica,GB-CHC-1054369,International NGO,United Kingdom
Adventist Development and Relief Agency (ADRA Somalia),KE-NGC-663,International NGO,Somalia
ADRA-UK,GB-CHC-1074937,International NGO,United Kingdom
ANDA,MZ-MOJ-F30G1No89,National NGO,Mozambique
Haiti Hospital Appeal,GB-CHC-1117528,International NGO,United Kingdom
Sympany+,NL-KVK-30285304,International NGO,Netherlands
Internews Europe,GB-CHC-1148404,International NGO,United Kingdom
GPPAC Foundation,NL-KVK-41217404,International NGO,Netherlands
War on Want NI,GB-COH-NI011322,International NGO,United Kingdom
Youth Business International,GB-CHC-1123946,International NGO,United Kingdom
Anti-Slavery International,GB-CHC-1049160,International NGO,United Kingdom
Belgian Development Cooperation,XM-DAC-2-10,Government,Belgium
Mott MacDonald Limited,GB-COH-1110949,Private Sector,United Kingdom
The Asia Foundation,US-EIN-941191246,International NGO,United States
Cyan International,GB-CHC-1129603,International NGO,United Kingdom
Scottish Catholic International Aid Fund (SCIAF),GB-SC-SC012302,International NGO,United Kingdom
Signal,GB-CHC-1151615,International NGO,United Kingdom
Lemann Foundation,CH-FDJP-CHE109668357,Foundation,Switzerland
CRANE,UG-NGB-5914-9186,National NGO,Uganda
BBC Media Action,GB-CHC-1076235,International NGO,United Kingdom
Natural Resource Governance Institute (NRGI),US-EIN-20-4451390,International NGO,United States
Pontis Foundation,SK-ZRSR-31784828,Foundation,Slovakia
Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,Government,Norway
Rights and Resources Initaitive,US-EIN-20-3690821,International NGO,United States
Stichting Humana,NL-KVK-30285304,International NGO,Netherlands
Kenya Community Development Foundation,KE-RCO-C95110,Foundation,Kenya
Syria Justice and Accountability Centre (SJAC),US-EIN-81-3014704,National NGO,United States
Stromme Foundation,XI-IATI-5914-1107,National NGO,Uganda
interburns,GB-CHC-1122299,International NGO,United Kingdom
Development Initiatives Poverty Research,GB-COH-06368740,International NGO,United Kingdom
Royal Society for the Protection of Birds,GB-CHC-207076,International NGO,United Kingdom
Progressio (closed),GB-CHC-294329,International NGO,United Kingdom
Tanager,US-EIN-52-1826242,International NGO,United States
Resource Extraction Monitoring,GB-COH-4905100,International NGO,United Kingdom
Homeless International,GB-CHC-1017255,International NGO,United Kingdom
Young Innovations Pvt. Ltd,NP-CRO-45995/063/064,"Academic, Training and Research",Nepal
The International Institute for Sustainable Development,CA-CRA_ACR-127202349,International NGO,Canada
Office for National Statistics,GB-GOV-24,Government,United Kingdom
HealthProm,GB-COH-4887855,International NGO,United Kingdom
World Vision UK,GB-CHC-285908,International NGO,United Kingdom
Traidcraft Exchange,GB-COH-3031674,International NGO,United Kingdom
Send a Cow,GB-CHC-299717,International NGO,United Kingdom
Wayamo Foundation,DE-CR-RA000217-HRB157125B,International NGO,Germany
Trust for Africa's Orphans,GB-CHC-1069208,International NGO,United Kingdom
Railway Children,GB-CHC-1058991,International NGO,United Kingdom
Forests Monitor,GB-COH-3008440,International NGO,United Kingdom
SOS Sahel International UK,GB-COH-2100867,International NGO,United Kingdom
Survivors Fund (SURF),GB-CHC-1065705,International NGO,United Kingdom
ADD International (Action on Disability and Development),GB-COH-294860,International NGO,United Kingdom
Sense International,GB-CHC-1076497,International NGO,United Kingdom
NGO Federation of Nepal,NP-DAO-27-689/063/064,National NGO,Nepal
Friends of Kipkelion,GB-CHC-1142476,Regional NGO,Kenya
Vision for a Nation Foundation,GB-CHC-1140123,International NGO,United Kingdom
The Leprosy Mission England and Wales,GB-CHC-1050327,International NGO,United Kingdom
APT Action on Poverty,GB-CHC-290836,International NGO,United Kingdom
Stichting VSO Nederland,NL-KVK-41155934,International NGO,Netherlands
Hope and Homes for Children,GB-CHC-1089490,International NGO,United Kingdom
Welsh Centre for International Affairs,GB-CHC-1156822,National NGO,United Kingdom
World Wide Fund for Nature - Pakistan,21-PK-WWF,International NGO,Pakistan
Pan African Climate Justice Alliance,KE-NCB-OP218051200904966065,International NGO,Kenya
Global Disability Innovation Hub,GB-COH-11126312,"Academic, Training and Research",United Kingdom
KPMG LLP,GB-COH-OC301540,Private Sector,United Kingdom
Global Alliance for Livestock Veterinary Medicines,GB-COH-05393391,International NGO,United Kingdom
Pragya India,IN-AR-775,National NGO,India
Y Care International,GB-CHC-1109789,International NGO,United Kingdom
Protecting Families Against HIV/AIDS,UG-NGB-63360,National NGO,Uganda
"WO=MEN, Dutch Gender Platform",NL-KVK-27293385,National NGO,Netherlands
Farm Africa,GB-COH-01926828,International NGO,United Kingdom
Center for Development and Integration,VN-MOST-A399,National NGO,Viet Nam
Oxfam India,IN-MCA-U74999DL2004NPL131340,National NGO,India
International Primary Care Respiratory Group,GB-SC-035056,"Academic, Training and Research",United Kingdom
Stichting ActionAId,NL-KVK-41217595,International NGO,Netherlands
Oxfam IBIS,DK-CVR-88136411,International NGO,Denmark
Cordaid,NL-KVK-41160054,International NGO,Netherlands
Aasaman Nepal,NP-SWC-27693,National NGO,Nepal
Alfalit,MZ-MOJ-203D,National NGO,Mozambique
Kadaster International,NL-KVK-08215619-201210000,Government,Netherlands
ECDPM,NL-KVK-41077447,"Academic, Training and Research",Netherlands
Doctors of the World UK,GB-CHC-1067406,International NGO,United Kingdom
Disability and Development Partners,GB-CHC-1046001,International NGO,United Kingdom
Allergy and Asthma Institute Pakistan,PK-NTN-6110190392611,"Academic, Training and Research",Pakistan
Hand in Hand International,GB-CHC-1113868,International NGO,United Kingdom
Transparency International Bangladesh,BD-NAB-1301,National NGO,Bangladesh
Stichting fondsbeheer DGGF lokaal MKB,NL-KVK-61172863,Foundation,Netherlands
Abt Associates Inc,US-EIN-042347643,Private Sector,United States
"Lithuania, Ministry of Foreign Affairs",XM-DAC-84,Government,Lithuania
Christian Aid Ireland,IE-CHY-6998,International NGO,Ireland
Free a Girl,NL-KVK-34308169,Foundation,Netherlands
United Mission to Nepal,XI-IATI-1002,International NGO,Nepal
MADE in Europe,GB-COH-1134415,International NGO,United Kingdom
The Salvation Army International Development UK,GB-CHC-214779,International NGO,United Kingdom
InterAction's NGO Aid Map,US-EIN-13-3287064NAM,International NGO,United States
Varkey Foundation,GB-CHC-1145119,International NGO,Ghana
dance4life,NL-KVK-34197379,International NGO,Netherlands
World Vision International,US-EIN-95-3202116,International NGO,United States
Learning for Life,GB-CHC-1105277,International NGO,United Kingdom
Orbis Charitable Trust,GB-CHC-1061352,International NGO,United Kingdom
UK - Scottish Government,GB-GOV-21,Government,United Kingdom
Options Consultancy Services,GB-COH-2695347,Private Sector,United Kingdom
Terre des Hommes Netherlands,NL-KVK-41149287,International NGO,Netherlands
Wellfound,GB-CHC-1110434,International NGO,United Kingdom
Stichting Vluchteling,NL-KVK-41149486,International NGO,Netherlands
Zing,GB-CHC-1133342,Foundation,United Kingdom
ZOA,NL-KVK-41009723,International NGO,Netherlands
Stichting Onderzoek Multinationale Ondernemingen (SOMO),NL-KVK-41223308,"Academic, Training and Research",Netherlands
WYG International B.V.,NL-KVK-06702132,Private Sector,United Kingdom
Itad,GB-COH-1869600,Private Sector,United Kingdom
Oxford Policy Management,GB-COH-03122495,Private Sector,United Kingdom
Upper Quartile,GB-COH-SC301345,Private Sector,United Kingdom
International Procurement Agency,NL-KVK-32037590,Private Sector,Netherlands
Nathan Associates London Ltd.,GB-COH-02768268,Private Sector,United Kingdom
Alcis Holdings Limited,GB-COH-5155300,Private Sector,United Kingdom
Ajuda de Desenvolvimento de Povo para Povo (ADPP),mz-moj-64vq1,National NGO,Mozambique
